,ticker,company,sector,price_to_book_ratio,price_to_sales_ratio,price_earnings_ratio,price_earnings_to_growth_ratio,dividend_yield,enterprise_value_multiple
0,TSLA,Tesla,Consumer Discretionary,17.13861740707162,4.614833184148425,-131.58163573085847,23.860428509597924,,48.09431148262208
1,MMM,3M Company,Industrials,9.318122826194971,2.917857542942494,20.518221006564552,2.2133134269560193,0.0353637749741997,14.359890562636796
2,ABT,Abbott Laboratories,Health Care,5.0706021616057635,4.940912738214644,42.75423921887713,31.92123941679678,0.014400366213365977,22.755483699973496
3,ABBV,AbbVie Inc.,Health Care,-14.820873715124817,3.6408398965911144,15.366173560010148,4.00163584356867,0.05256110290136297,9.830542965375157
4,ABMD,ABIOMED Inc,Health Care,16.68469367801983,20.315924812069166,60.350413333539244,24.16330046556638,-0,64.17946953992312
5,ACN,Accenture plc,Information Technology,8.518155749774724,2.840174416787749,25.682213420348802,4.036489562291552,0.015189675176188862,16.204038512662283
6,ATVI,Activision Blizzard,Communication Services,3.647218274111675,7.19719987671444,31.072940785096474,13.145584987407057,0.006059615914564126,20.177606481481483
7,ADBE,Adobe Inc.,Information Technology,15.276147396690744,14.3994202186192,54.50194442543313,10.230072193324583,,40.53851659887285
8,AMD,Advanced Micro Devices Inc,Information Technology,19.010491687301027,7.98435002228495,157.60310850439885,510.2225263451013,,57.41312295973885
9,AAP,Advance Auto Parts,Consumer Discretionary,3.689085784016224,1.3672751868002622,30.90561867843821,4.791977905435047,0.0013603064973374485,15.83277733397115
10,AES,AES Corp,Utilities,4.472469959946595,1.3150966728825204,44.22283828382838,24.408948146684992,0.027015893106618744,6.046197458455523
11,AFL,AFLAC Inc,Financials,1.5111635478646321,1.629511865061127,12.142095602739726,2.0296288164034015,0.022366430915308846,8.855442775510204
12,A,Agilent Technologies Inc,Health Care,5.049918267013356,4.6933204569495315,72.98410356155063,34.01331817326985,0.00828167162780993,18.371223984930946
13,APD,Air Products & Chemicals Inc,Materials,4.319463251791271,5.35330803125946,27.12819261363636,3.990079338218781,0.0208186640118751,15.01134698810114
14,AKAM,Akamai Technologies Inc,Information Technology,4.208253528334661,5.319852164263619,32.201856893323715,17.56001825796948,,15.28951562075969
